"","genus","species","coder"
"185","Oenothera","elata","B"
"186","Opuntia","basilaris","B"
"187","Paeonia","brownii","B"
"188","Pedicularis","densiflora","B"
"189","Penstemon","barbatus","B"
"190","Penstemon","eatonii","B"
"191","Penstemon","palmeri","B"
"192","Penstemon","parryi","B"
"193","Penstemon","pseudospectabilis","B"
"194","Penstemon","strictus","B"
"195","Penstemon","subulatus","B"
"196","Penstemon","fruticosus","B"
"197","Penstemon","newberryi","B"
"198","Penstemon","procerus","B"
"199","Penstemon","rupicola","B"
"200","Penstemon","rydbergii","B"
"201","Penstemon","bridgesii","B"
"202","Penstemon","cardinalis","B"
"203","Penstemon","centranthifolius","B"
"204","Penstemon","clevelandii","B"
"205","Penstemon","labrosus","B"
"206","Penstemon","ramosus","B"
"207","Penstemon","pinifolius","B"
"208","Penstemon","utahensis","B"
"209","Penstemon","grinnelli","B"
"210","Penstemon","heterophyllus","B"
"211","Penstemon","laetus","B"
"212","Penstemon","azureus","B"
"213","Penstemon","baccharifolius","B"
"214","Penstemon","triflorus","B"
"215","Peritoma","arborea","B"
"216","Philadelphus","lewisii","B"
"217","Phlox","speciosa","B"
"218","Phlox","drummondii","B"
"219","Pickeringia","montana","B"
"220","Platanus","racemosa","B"
"221","Polemonium","pauciflorum","B"
"222","Polemonium","brandegeei","B"
"223","Ranunculus","californicus","B"
"224","Rhamnus","ilicifolia","B"
"225","Rhododendron","occidentale","B"
"226","Ribes","roezlii","B"
"227","Ribes","sanguinea","B"
"228","Ribes","speciosum","B"
"229","Ribes","malvaceum","B"
"230","Ribes","viburnifolium","B"
"231","Ribes","aureum","B"
"232","Ribes","nevadense","B"
"233","Rosa","californica","B"
"234","Rubus","spectabilis","B"
"235","Sagittaria","sanfordii","B"
"236","Salix","exigua","B"
"237","Salix","gooddingii","B"
"238","Salix","laevigata","B"
"239","Salix","lasiolepis","B"
"240","Salix","lucida","B"
"241","Salix","scouleriana","B"
"242","Saltugilia","splendens","B"
"243","Salvia","spathacea","B"
"244","Salvia","dorrii","B"
"245","Salvia","lemmonii","B"
"246","Salvia","spathacea","B"
"247","Salvia","mellifera","B"
"248","Salvia","clevelandii","B"
"249","Salvia","leucophylla","B"
"250","Salvia","apiana","B"
"251","Salvia","sonomensis","B"
"252","Salvia","coccinea","B"
"253","Salvia","greggii","B"
"254","Salvia","penstemonoides","B"
"255","Salvia","regla","B"
"256","Salvia","roemeriana","B"
"257","Salvia","henryi","B"
"258","Sambucus","nigra","B"
"259","Sarcodes","sanguinea","B"
"260","Satureja","mimuloides","B"
"261","Scrophularia","coccinea","B"
"262","Scrophularia","californica","B"
"263","Sedum","spathulifolium","B"
"264","Sedum","obtusatum","B"
"265","Sesbania","drummondii","B"
"266","Sidalcea","oregana","B"
"267","Sidalcea","malviflora","B"
"268","Silene","californica","B"
"269","Silene","laciniata","B"
"270","Silene","virginica","B"
"271","Sisyrinchium","bellum","B"
"272","Solanum","xanti","B"
"273","Solidago","californica","B"
"274","Spigelia","marilandica","B"
"275","Spiraea","douglasii","B"
"276","Stachys","coccinea","B"
"277","Stachys","chamissonisvar.cooleyae","B"
"278","Stachys","chamissonis","B"
"279","Stachys","ajugoides","B"
"280","Symphoricarpos","occidentalis","B"
"281","Symphoricarpos","mollis","B"
"282","Symphoricarpos","rotundifolius","B"
"283","Tecoma","stans","B"
"284","Trichostema","lanatum","B"
"285","Triteleia","lilacina","B"
"286","Triteleia","laxa","B"
"287","Triteleia","ixioides","B"
"288","Vaccinium","ovatum","B"
"289","Verbena","hastata","B"
